Date,Target,Naive,Naive (drift),AutoSARIMA,AutoSARIMAX,Exponential Smoothing,Theta,STL,XGBoost,XGBoost (+ X)
2019-03,60.02558061712424,60.3352653609912,60.3877227997895,60.24681745989616,60.26833489452022,60.20243477573144,60.210131138987585,61.353164246715,61.618793,60.27309
2019-04,61.56341015607467,60.02558061712424,60.0760482637101,60.093117966547204,59.91713311766229,60.06166968251252,60.206526692832014,59.78496325314188,60.02087,59.415245
2019-05,63.62479120384906,61.56341015607467,61.62200546327453,61.22729133587457,60.93238939918052,61.25682654227817,60.20332672190621,61.30139128627085,61.71066,60.266994
2019-06,63.14312871394669,63.62479120384906,63.69427121616074,63.17274921504344,62.27047716502119,63.147083652205055,60.2006214244871,63.091858795140034,61.21174,62.86863
2019-07,61.668452750677055,63.14312871394669,63.20962957759776,63.24910698058397,63.79349070990739,63.14392425557851,60.19787975109308,64.27757111098853,63.19189,62.001293
2019-08,58.11902777279192,61.668452750677055,61.7266677174092,61.992972464589116,62.66510070604069,61.96717615200539,60.194906762810504,62.59865000782995,64.551315,62.667763
2019-09,57.369566355027885,58.11902777279192,58.157950547306854,58.89927785337314,58.41937690303995,58.8850817548532,60.19130508295586,59.31158946383609,60.374428,58.940468
2019-10,55.608235727745296,57.369566355027885,57.40429559660517,57.53397701071586,57.44064188271547,57.66286988655724,60.18764711909744,56.2908092378556,62.11182,58.779594
2019-11,52.82179974407253,55.608235727745296,55.63346200705348,55.99473349458208,55.467471882572966,56.00293320466989,60.1837415467642,56.08362443400249,57.150333,60.028175
2019-12,53.07215839942438,52.82179974407253,52.83222780094397,53.43288020937023,53.25470724818639,53.417791217414205,60.179404514440265,53.15890694047965,49.500988,50.4868
2020-01,55.74114888927544,53.07215839942438,53.0838426374397,53.01728725045558,53.12188740704316,53.136393626098595,60.17522792886421,51.878116810196026,52.65359,53.24022
2020-02,56.00843419767258,55.74114888927544,55.766673264019076,55.15615110153619,54.67464470638221,55.24947027174249,60.17165802933547,54.276921788496466,57.096153,57.858055
2020-03,56.32730219661349,56.00843419767258,56.03521121974084,55.94980003748353,56.39334878982115,55.86639337024431,60.168227542926076,56.69592545315722,56.704357,57.326027
2020-04,57.46160295068263,56.32730219661349,56.35558484227387,56.25735373891474,56.2851360483926,56.24097191582088,60.164941332662856,56.52862529514641,58.987724,56.93521
2020-05,64.57351504251213,57.46160295068263,57.49555748407845,57.212782559474284,57.468652620957315,57.23344367565979,60.16194220354581,57.1589066100616,56.614532,58.423557
2020-06,64.91118292416743,64.57351504251213,64.6435816042673,63.013904949776034,63.12781974862358,63.24523093051016,60.16029061857571,61.44204599062326,61.827065,60.5268
2020-07,66.97083260117535,64.91118292416743,64.98260786825712,64.84386059943523,65.65078005159147,64.63086535726073,60.15873172776254,67.91167432790988,64.39872,63.615635
2020-08,60.31451726499743,66.97083260117535,67.05229908432018,66.56438883058559,66.85380819403919,66.57464736264421,60.15756470577332,66.24006540750834,65.367516,62.369938
2020-09,62.67861760359021,60.31451726499743,60.36212554804516,61.668716758939844,61.64872047438574,61.437473164550084,60.15525910443858,65.44839118903046,59.403748,61.323826
2020-10,62.38514619493896,62.67861760359021,62.73780834691567,62.21868972676869,61.06562258173983,62.45418918276539,60.15341308082922,58.40384111822415,61.785603,62.396564
2020-11,60.61310344059787,62.38514619493896,62.44258240019489,62.44405407769523,62.06455988393243,62.39786040468944,60.15155624683951,64.00721652982529,60.821815,61.467453
2020-12,61.882312241949656,60.61310344059787,60.66148281932113,60.97062170690785,60.872652331004346,60.94170470894544,60.149440027130375,60.61884838684001,64.84977,61.21232
2021-01,61.14875914106656,61.882312241949656,61.936705558715424,61.626299797570375,61.58597607689474,61.70856549611181,60.147583332641744,61.105938338251796,63.29764,61.85164
2021-02,60.125974233258354,61.14875914106656,61.19928997539288,61.29835495152128,61.312954001917106,61.25243244544299,60.14564523285035,62.05839781766741,61.645924,61.59211
2021-03,59.75123167834947,60.125974233258354,60.17126938103767,60.334891694510866,60.8612014095399,60.33429533739745,60.143581991534504,59.83800020086294,60.55442,61.266468
2021-04,63.10015190531737,59.75123167834947,59.79448780815457,59.82786438787516,59.515666850781685,59.858759395213674,60.14150415423199,60.256414023637376,60.513115,60.890213
2021-05,59.30406661631229,63.10015190531737,63.1593774268962,62.413169423823064,61.612354353623545,62.49743820532803,60.14001150156516,60.59223854730885,64.380554,62.28883
2021-06,58.34128700813266,59.30406661631229,59.34475698976332,60.09352655090311,60.097331608858184,59.91207288704545,60.13794454804472,62.962565112831456,64.43688,63.419544
2021-07,61.47997018394558,58.34128700813266,58.37717608980555,58.54054137565966,57.90620587650264,58.63735360727213,60.13577236753771,57.12638458552928,60.529102,59.60109
2021-08,56.4534175836901,61.47997018394558,61.53063447559057,60.828732537437745,60.65894276719152,60.934395216086166,60.13414030299902,59.91900380725882,60.277325,62.30938
