datetime,bid_close_agg
2023-10-24,1.05944
2023-10-25,1.05655
2023-10-26,1.05631
2023-10-27,1.05612
2023-10-30,1.06131
2023-10-31,1.05772
2023-11-01,1.0586
2023-11-02,1.06149
2023-11-03,1.07307
2023-11-06,1.07176
2023-11-07,1.06948
2023-11-08,1.07104
2023-11-09,1.06663
2023-11-10,1.06899
2023-11-13,1.07004
2023-11-14,1.08769
2023-11-15,1.08534
2023-11-16,1.08524
2023-11-17,1.09048
2023-11-20,1.09439
2023-11-21,1.09165
2023-11-22,1.08874
2023-11-23,1.09031
2023-11-24,1.0939
2023-11-27,1.09584
2023-11-28,1.10033
2023-11-29,1.09727
2023-11-30,1.08911
2023-12-01,1.08851
2023-12-04,1.08365
2023-12-05,1.07926
2023-12-06,1.07656
2023-12-07,1.07891
2023-12-08,1.07645
2023-12-11,1.07646
2023-12-12,1.07975
2023-12-13,1.08819
2023-12-14,1.09926
2023-12-15,1.08942
2023-12-18,1.09226
2023-12-19,1.09787
2023-12-20,1.09424
2023-12-21,1.10049
2023-12-22,1.10132
2023-12-25,1.1018
2023-12-26,1.10416
2023-12-27,1.11075
2023-12-28,1.10673
2023-12-29,1.10363
2024-01-01,1.10359
2024-01-02,1.09408
2024-01-03,1.09253
2024-01-04,1.09455
2024-01-05,1.0941
2024-01-08,1.09489
2024-01-09,1.0931
2024-01-10,1.09733
2024-01-11,1.09816
2024-01-12,1.09443
2024-01-15,1.09442
2024-01-16,1.0878
2024-01-17,1.08853
2024-01-18,1.08794
2024-01-19,1.08913
2024-01-22,1.08766
2024-01-23,1.08566
2024-01-24,1.08805
2024-01-25,1.08448
2024-01-26,1.08416
2024-01-29,1.0833
2024-01-30,1.08422
2024-01-31,1.08033
2024-02-01,1.08735
2024-02-02,1.0779
2024-02-05,1.07404
2024-02-06,1.07415
